NUMBER OF OBSERVATIONS									
18475									
DAY	MONTH 	YEAR	RAIN	PET	GWL	ABS			
20	04	1971	0	1.390683407	-9999	0	-9999		
21	04	1971	0	1.390683407	-9999	0	-9999		
22	04	1971	6.796	1.390683407	-9999	0	-9999		
23	04	1971	19.868	1.390683407	-9999	0	-9999		
24	04	1971	9.551	1.390683407	-9999	0	-9999		
25	04	1971	0	1.390683407	-9999	0	-9999		
26	04	1971	0.036	1.390683407	-9999	0	-9999		
27	04	1971	1.869	1.390683407	-9999	0	-9999		
28	04	1971	0.014	1.390683407	-9999	0	-9999		
29	04	1971	0.448	1.390683407	-9999	0	-9999		
30	04	1971	0.016	1.390683407	-9999	0	-9999		
01	05	1971	0	2.741914803	-9999	0	-9999		
02	05	1971	0	2.741914803	-9999	0	-9999		
03	05	1971	0	2.741914803	-9999	0	-9999		
04	05	1971	0	2.741914803	-9999	0	-9999		
05	05	1971	0	2.741914803	-9999	0	-9999		
06	05	1971	0.735	2.741914803	-9999	0	-9999		
07	05	1971	1.069	2.741914803	-9999	0	-9999		
08	05	1971	0.01	2.741914803	-9999	0	-9999		
09	05	1971	0	2.741914803	-9999	0	-9999		
10	05	1971	0	2.741914803	-9999	0	-9999		
11	05	1971	0.251	2.741914803	-9999	0	-9999		
12	05	1971	0.001	2.741914803	-9999	0	-9999		
13	05	1971	0	2.741914803	-9999	0	-9999		
14	05	1971	0.001	2.741914803	-9999	0	-9999		
